disease_wiki_id,disease_name,description,drugs,symptoms,risk_factors
Q4086956,bipolar ll disorder,"bipolar disorder that is characterized by at least one hypomanic episode and at least one major depressive episode; with this disorder, depressive episodes are more frequent and more intense than manic episodes",,,
Q4915490,bipolar spectrum,,,,
Q55781692,"bird headed-dwarfism, Montreal type",human disease,,,
Q359099,blackout,alcohol-related amnesia,,,
Q55787025,blepharophimosis-intellectual disability syndrome,human disease,,,
Q55787671,blepharophimosis-intellectual disability syndrome due to UBE3B deficiency,human disease,,,
Q55999539,"blepharophimosis-intellectual disability syndrome, MKB type",The Maat-Kievit-Brunner type of Ohdo syndrome is a rare condition characterized by intellectual disability and distinctive facial features. It has only been reported in males.,,,
Q3961681,"blepharophimosis-intellectual disability syndrome, Ohdo type","syndrome that is characterized by blepharophimosis, ptosis, dental hypoplasia, hearing impairment and intellectual disability",,['petoze'],
Q55783364,"blepharophimosis-intellectual disability syndrome, Verloes type",human disease,,,
Q4927796,blood fetishism,"sexual interest or paraphilia for blood in clinical vampirism, or within BDSM or vampire lifestyle",,,
Q886731,blood phobia,irrational fear of blood,,,
Q3381344,blood-injection-injury type phobia,"specific phobia characterized by the display of excessive, irrational fear in response to the sight of blood, injury, or injection",,,
Q844590,body dysmorphic disorder,mental disorder,,,
Q890069,body integrity identity disorder,mental disorder,,,
Q747748,body worship,submissive act pertaining to BDSM,,,
Q95422809,body-focused obsession,,,,
Q3092561,boot fetishism,sexual fetish,,,
Q11861940,borderline intellectual functioning,Category of intelligence,,,
Q208166,borderline personality disorder,personality disorder characterized by variability of moods and unstable relationships,"['quetiapine', 'venlafaxine', 'lamotrigine', 'aripiprazole']","['dysphoria', 'impulsivity', 'regulation of emotion', 'anger', 'self-injury']",
Q18710618,borderline personality disorder: borderline type,"subtype of borderline personality disorder, with the ICD-10 classification of F60.31",,,
Q15141261,borderline spectrum disorder,,,,
Q1208144,boreout,psychological disorder,,,
Q4949373,bouffée délirante,acute polymorphic psychotic disorder (bouffée délirante),,,
Q154666,bovine sponginess encephalitic,bovine counterpart to variant Creutzfeldt-Jakob disease,,,
Q3219948,bowel-control anxiety,fear of getting diarrhea in public,,,
Q55785359,brachydactyly-mesomelia-intellectual disability-heart defects syndrome,human disease,,,
Q3643519,bradylalia,slow speech,,,
Q2923519,bradyphrenia,slow mental activity,,,
Q55788508,brain malformation-congenital heart disease-postaxial polydactyly syndrome,,,,
Q55783782,brain-lung-thyroid syndrome,"rare disorder characterized by congenital hypothyroidism (CH), infant respiratory distress syndrome (IRDS) and benign hereditary chorea (BHC; see these terms)",,,
Q55781699,branchioskeletogenital syndrome,human disease,,['petoze'],
Q2651749,breast fetishism,sexual interest focused on female breasts,,,
Q2787727,brief psychotic disorder,"period of psychosis whose duration is generally shorter, is not always non-recurring, but can be, and is not caused by another condition",,,
Q1267017,brief reactive psychosis,psychosis,,,
Q13604751,broken heart,negative feelings from experiencing unrequited love or loss of love,,,
Q994942,bruxism,disorder that involves involuntarily grinding or clenching of the teeth,,['dental attrition'],
Q5735426,bulimarexia,eating disorder alterning bulimia and anorexia nervosa,,,
Q180913,bulimia,eating disorder,"['maprotiline', 'fluoxetine', '(RS)-fenfluramine']",['vomiting'],
Q64513386,bulimia nervosa,eating disorder that is characterized by a cycle of bulimia (binge eating) followed by inappropriate acts such as purging to avert weight gain,,,
Q55782535,"bullous dystrophy, macular type",,,,
Q2725587,burusera,"clothing paraphilia,  sexualized attraction to the underwear or school uniforms",,,
Q58601382,buttocks fetishism,a paraphilia involving sexual attraction to the human buttocks.,,,
Q28960322,cacodemonomania,,,,
Q1106843,caffeine dependence,"central nervous system stimulant drug which occurs in nature as part of the coffee, tea, yerba mate and other plants",,,
Q5017161,caffeine-induced sleep disorder,medical condition,,,
Q51302742,caffeinism,caffeine overdose,,,
Q5644859,caligynephobia,fear of beautiful women,,,
Q55783848,"camptodactyly syndrome, Guadalajara type 3",human disease,,,
Q1734743,cancerophobia,"overwhelming, irrational, and persistent fear of being diagnosed with cancer",,,
Q25531259,cannabis abuse,substance abuse that involves the recurring use of cannabis despite negative consequences,,,
Q16517909,cannabis and schizophrenia,,,,
Q3743620,cannabis dependence,drug dependence that involves the continued use of cannabis despite problems related to use of the substance,,,
Q17001305,cannabis use in pregnancy,Human disease,,,
Q55784994,cardiac anomalies-developmental delay-facial dysmorphism syndrome,human disease,,,
Q55782890,"cardiac malformation, cleft lip/palate, microcephaly, and digital anomalies",human disease,,,
Q42755841,"cardiocranial syndrome, Pfeiffer type",disease,,,
Q3912188,cast fetishism,,,,
Q944473,cataplexy,sudden muscle weakness,['sodium oxybate'],,
Q55785397,cataract-deafness-hypogonadism syndrome,,,,
Q55781700,cataract-hypertrichosis-intellectual disability syndrome,,,,
Q55785396,cataract-intellectual disability-anal atresia-urinary defects syndrome,,,,
Q22965511,cataract-intellectual disability-hypogonadism syndrome,"This syndrome is characterized by the association of intellectual deficit, congenital cataract, and hypogonadotropic hypogonadism",,,
Q11737256,catathymia,,,,
Q57769952,catatonic excitement,"catatonic symptom, purposeless and excited motor activity without obvious cause",,,
Q1432717,catatonic schizophrenia,mental disorder,,"['muteness', ""Pavlov's symptom"", 'waxy flexibility', 'psychological pillow', 'negativism', 'catatonic excitement', 'catalepsy']",
Q55785347,caudal appendage-deafness syndrome,"Caudal appendage-deafness syndrome is characterized by caudal appendage, short terminal phalanges, deafness, cryptorchidism, intellectual deficit, short stature and dysmorphism. It has been described in monozygotic twin boys.",,,
Q108598204,cenesthetic hallucination,type of hallucination,,,
Q9334248,cenesthopathic schizophrenia,subtype of schizophrenia in which abnormal bodily sensations dominate,,['cenesthopathy'],
Q55787554,central nervous system calcification-deafness-tubular acidosis-anemia syndrome,,,,
Q3620651,central sleep apnea,"sleep apnea that is characterized by a malfunction of the basic neurological controls for breathing rate and the failure to give the signal to inhale, causing the individual to miss one or more cycles of breathing",,,
Q55790500,central sleep apnea due to periodic breathing,human disease,,,
Q5063259,cephalgiaphobia,fear of headaches,,,
Q154709,cerebellar ataxia,cerebellar disease characterized by ataxia originating in the cerebellum.,,,
Q55345761,cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome,medical condition,,,
Q102294040,"cerebellar hyplasia/atrophy, epilepsy, and global developmental delay",human disease,,,
Q55784869,cerebellar-facial-dental syndrome,human disease,,,
Q18553924,cerebral lipidosis,Human disease,,,
Q2602467,cerebrotendinous xanthomatosis,autosomal recessive form of xanthomatosis.,,,
Q55789149,cerebrovascular dementia,human disease,,,
Q30141343,challenges in planning or solving problems,,,,
Q30141414,changes in mood and personality,,,,
Q3635133,character amnesia,,,,
Q9188898,characteropathy,,,,
Q50348566,cheilophagia,lip biting,,,
Q3066758,child abduction by pedophile,,,,
Q69886832,child behavior disorders,disturbances of children considered to be pathological based on age and stage,,,
Q5097919,child pyromaniac,A child with an urge to set fires,,,
Q4208342,child sex tourism,Tourism with the purpose to engage in child prostitution,,,
Q493965,childhood amnesia,inability of adults to retrieve episodic memories before the age of two to four years,,,
Q388722,childhood disintegrative disease,neurodevelopmental condition,,,
Q21075313,childhood dysphonia,,,,
Q3377828,childhood fear,,,,
Q5097985,childhood phobia,"exaggerated, intense fear found in children",,,
Q17162576,childhood schizophrenia,childhood-onset mental disorder,,,
Q2692145,childhood serious emotional disturbance,overview about childhood serious emotional disturbances,,,
Q68145128,childhood-onset fluency disorder,disturbances in speech inappropriate for age and language skills,,,
Q5439392,chiroptophobia,fear of bats,,,
Q5104989,chorditis,medical condition,,,
Q5105007,chorea gravidarum,Human disease,,,
Q3338656,chorea-acanthocytosis,Human disease,,,
Q1076421,choreatic disease,"movement disease characterized by brief, semi-directed, irregular movements that not repetitive or rhythmic, but appear to flow from one muscle to the next",,,
Q55790000,choreoacanthocytosis amyotrophic,human disease,,,
Q106760900,choreomania,"uncontrollable urge to dance, especially in a frenzied, convulsive manner",,,
Q8043081,chromophobia,fear of colors,,,
Q21154058,chromosome 15q13.3 microdeletion syndrome,Human disease,,,
Q21154059,chromosome 15q24 deletion syndrome,human disease,,,
Q21154076,chromosome 16p11.2 duplication syndrome,Human disease,,,
Q55790009,chromosome 17 deletion,human disease,,,
Q21154078,chromosome 17p13.3 duplication syndrome,Human disease,,,
Q7234988,chromosome 17q21.31 duplication syndrome,Human disease,,,
Q21154066,chromosome 19q13.11 deletion syndrome,Human disease,,,
Q66084923,chromosome 3-linked frontotemporal dementia,A frontotemporal dementia that has material basis in heterozygous mutation in CHMP2B on 3p11.2.,,,
Q21505487,chromosome 5p13 duplication syndrome,Human disease,,,
Q21124546,chromosome 5q12 deletion syndrome,Human disease,,,
Q21154072,chromosome 6pter-p24 deletion syndrome,Human disease,,,
Q21154073,chromosome 8q21.11 deletion syndrome,Human disease,,,
Q55999531,chromosome Xp11.22 duplication syndrome,human disease,,,
Q21505488,chromosome Xp11.23-p11.22 duplication syndrome,Human disease,,,
Q19001109,chronic depressive disorder,Human disease,['perphenazine'],,
Q18975429,chronic factitious illness with physical symptoms,human disease,,,
Q3410138,chronic hallucinatory psychosis,medical condition,,,
Q18966878,chronic hypomanic disorder,Human disease,,,
Q18966752,chronic latent schizophrenia,human disease,,,
Q18967121,chronic schizophrenia,Human disease,['piperacetazine'],,
Q18966473,chronic state latent schizophrenia with acute exacerbation,human disease,,,
Q2667685,chronic tic disorder,"tic disorder that is characterized by single or multiple motor or phonic tics, but not both, which are present for more than a year",,,
Q5114004,chronic traumatic encephalopathy,neurodegenerative disease caused by head injury,,,
Q18967392,chronic undifferentiated schizophrenia,mental disorder,,,
Q1087811,chronic wasting disease,animal disease,,,
Q1088341,chronophilia,form of paraphilia in which an individual experiences sexual attraction limited to individuals of particular age ranges,,,
Q5791167,chrysophobia,fear of the color gold,,,
Q2712607,circadian rhythm sleep disorder,human disease,,,
Q4346960,circumstantial speech,,,,
Q5125787,clanging,compulsive sound-associated speech without a logical connection between words as a symptom of mental illness,,,
Q56013691,classic lissencephaly,human disease,,,
Q55345949,classic pantothenate kinase-associated neurodegeneration,human disease,,,
Q55345760,classic progressive supranuclear palsy syndrome,,,,
Q55785908,cleft palate-short stature-vertebral anomalies syndrome,medical condition,,,
Q41184,clinical lycanthropy,mental disorder,,,
Q2979311,clinophilia,sleep disorder,,,
Q2979422,clitorism,painful clitoral erection,,,
Q11323359,clothing fetish,Sexual fetish,,,
Q29871326,cluster A personality disorders,,,,
Q1300078,cluster C personality disorder,,,,
